Pressure,Temprature,Diameter,Ug,Ul,H,dp/dx,Density_mix,Viscosity_mix,friction factor
2.88,-7,44,3.43,0.05,0.03,193,104.8683483,1.70592E-05,0.011794179
2.88,-7,44,1.68,0.05,0.06,38,131.5403943,2.00029E-05,0.012689951
2.88,-7,44,0.22,0.05,0.09,-15,158.2124403,2.29466E-05,0.01794563
2.88,-7,44,3.49,0.1,0.05,235,122.6497123,1.90217E-05,0.011746396
2.88,-7,44,1.67,0.1,0.11,44,175.9938044,2.4909E-05,0.012663504
2.88,-7,44,0.23,0.1,0.13,-15,193.7751684,2.68715E-05,0.017621534
2.88,-7,44,4.51,0.5,0.13,704,193.7751684,2.68715E-05,0.011468114
2.88,-7,44,3.33,0.5,0.19,438,247.1192604,3.27588E-05,0.011763432
2.88,-7,44,2.12,0.5,0.28,203,327.1353985,4.15898E-05,0.012343519
2.88,-7,44,0.24,0.5,0.45,-19,478.2769927,5.82707E-05,0.015489043
